UMAP1,UMAP2,kmeans_cluster,is_noise
-4.96,1.37,1,0
12.28,-1.4,1,0
-3.66,-1.33,0,0
-3.48,10.25,0,0
10.39,-1.59,0,0
10.79,-1.22,0,0
9.82,-3.76,0,0
-1.64,3.98,1,0
-2.58,9.13,1,0
13.56,9.17,1,0
11.1,-0.83,0,0
13.69,12.36,1,0
12.48,11.4,1,0
-3.48,4.0,1,0
10.47,-2.54,0,0
10.09,13.45,0,0
9.57,-2.36,0,0
9.75,12.42,0,0
9.74,-3.05,0,0
9.85,-1.12,0,0
10.13,-2.6,0,0
-4.43,0.61,1,0
10.98,-1.43,0,0
-3.44,10.18,0,0
-2.56,-0.31,0,0
9.33,-0.6,0,0
9.23,12.2,0,0
12.45,-1.15,0,0
11.26,-1.6,0,0
12.71,-2.25,0,0
9.76,15.36,0,0
10.92,-2.1,0,0
14.22,-1.54,1,0
9.86,-2.89,0,0
12.85,-0.52,1,0
9.43,-2.37,0,0
11.87,-3.33,0,0
11.24,-1.19,0,0
11.14,-1.57,0,0
-4.05,0.6,1,0
0.23,8.26,1,0
12.34,-2.45,0,0
13.48,1.52,1,0
10.01,12.35,0,0
-4.02,2.93,1,0
-4.83,0.93,1,0
-4.22,0.39,1,0
11.67,-3.9,0,0
11.04,-1.43,0,0
7.48,13.6,0,0
10.65,-1.52,0,0
11.7,-0.58,1,0
13.66,-1.76,1,0
-3.87,-0.75,0,0
11.08,-3.5,0,0
11.03,-2.25,0,0
-3.59,9.93,0,0
9.67,-4.71,0,0
15.38,-2.66,1,0
8.28,-3.05,0,0
9.51,12.44,0,0
11.37,-2.13,0,0
11.14,-3.03,0,0
9.56,-2.01,0,0
8.92,14.61,0,0
11.71,-2.52,0,0
10.25,12.31,0,0
14.26,11.2,1,0
9.75,-2.33,0,0
-3.02,1.42,1,0
10.34,13.53,0,0
-3.44,11.16,0,0
-3.86,9.2,1,0
-0.64,7.9,1,0
10.72,-1.41,0,0
10.62,-1.57,0,0
14.91,14.33,1,0
11.41,-1.51,0,0
-4.69,-0.87,1,0
11.26,12.89,0,0
10.68,-1.48,0,0
-2.58,6.7,1,0
10.89,0.51,1,0
7.94,14.65,0,0
-5.28,0.07,1,0
-3.14,-0.86,0,0
9.52,-2.56,0,0
-4.58,1.08,1,0
-2.1,11.53,0,0
-3.63,-1.47,0,0
-0.16,8.39,1,0
11.69,12.71,1,0
10.1,-1.79,0,0
-4.35,1.7,1,0
10.25,-3.77,0,0
10.36,14.53,0,0
12.55,9.56,1,0
11.75,-1.43,1,0
11.82,-1.84,1,0
9.5,-4.72,0,0
10.15,11.99,0,0
12.96,-2.18,1,0
-2.87,8.47,0,0
-3.11,1.13,0,0
-5.93,-0.1,0,0
11.66,10.55,1,0
10.87,-1.49,0,0
14.11,-2.28,1,0
-2.01,-0.87,0,0
9.7,-4.0,0,0
13.23,-0.6,1,0
11.51,12.65,1,0
9.13,-1.56,0,0
-3.2,2.72,1,0
11.94,-3.21,0,0
10.79,-2.56,0,0
10.4,13.57,0,0
8.9,-1.81,0,0
14.08,-1.55,1,0
10.46,-1.73,0,0
11.65,11.74,1,0
12.13,-0.84,1,0
11.36,10.17,1,0
-2.69,9.89,0,0
8.26,12.73,0,0
13.84,2.03,1,0
-1.11,4.53,1,0
13.41,13.13,1,0
11.26,-1.37,0,0
12.32,14.55,0,0
11.62,-1.7,0,0
-3.13,-2.0,0,0
11.4,0.57,1,0
10.97,12.52,0,0
10.93,14.43,0,0
10.62,-3.13,0,0
12.9,0.22,1,0
11.07,-1.51,0,0
12.05,9.83,1,0
-3.5,12.29,0,0
17.17,10.68,1,0
8.73,13.42,0,0
-2.58,-1.49,0,0
10.21,11.66,0,0
13.24,-3.97,1,0
11.22,14.24,0,0
13.71,-2.96,1,0
11.27,12.8,0,0
-1.87,9.95,0,0
-1.48,7.71,1,0
-3.06,1.54,1,0
12.11,0.32,1,0
-2.25,10.93,1,0
13.44,1.72,1,0
-4.08,0.21,0,0
10.12,12.36,0,0
9.86,13.91,0,0
10.23,-3.76,0,0
-2.49,9.45,0,0
-1.77,2.49,0,0
11.45,1.83,1,0
-3.47,5.48,1,0
10.44,12.65,0,0
9.75,-1.39,0,0
-1.61,8.84,1,0
10.26,-2.39,0,0
-2.99,11.47,0,0
10.6,-1.68,0,0
-3.3,-1.01,0,0
12.6,-1.35,0,0
9.55,-3.11,0,0
12.17,10.78,1,0
11.74,12.1,1,0
10.2,-1.43,0,0
8.66,12.27,0,0
14.42,-3.03,0,0
-4.79,0.69,1,0
13.08,-3.91,1,0
11.98,-3.05,0,0
9.41,-2.31,0,0
-1.74,3.21,1,0
14.28,-2.29,1,0
10.76,-2.27,0,0
12.1,-3.31,1,0
-5.28,-0.29,0,0
11.26,-2.14,0,0
9.51,13.75,0,0
10.5,12.36,0,0
10.71,11.93,0,0
12.41,-0.74,0,0
11.97,-1.91,1,0
11.92,-0.88,1,0
-2.18,5.4,1,0
9.74,12.02,0,0
10.71,13.91,0,0
9.56,12.38,0,0
10.71,-1.29,0,0
10.06,-2.71,0,0
12.34,-1.4,0,0
15.87,-0.78,1,0
12.01,-3.03,0,0
11.35,-3.35,0,0
-2.52,1.27,1,0
11.43,12.73,0,0
-4.67,0.38,1,0
-1.02,5.66,0,0
-1.09,0.07,0,0
11.81,-2.68,0,0
-3.91,-0.77,0,0
-3.14,9.87,1,0
12.8,-0.82,1,0
12.77,-2.55,1,0
-5.35,-0.08,0,0
-2.81,-0.4,1,0
9.39,13.42,0,0
-1.64,10.83,0,0
12.31,2.72,1,0
10.7,-1.74,0,0
-3.22,10.42,0,0
8.86,13.37,0,0
-0.65,10.93,0,0
-4.58,1.4,1,0
14.05,14.03,1,0
9.25,-1.41,0,0
-1.46,-0.28,1,0
11.02,-2.35,0,0
5.86,3.85,0,0
-1.13,8.96,1,0
-3.61,3.3,1,0
11.38,-3.44,0,0
12.17,-3.03,1,0
9.43,-3.83,0,0
12.09,-1.59,0,0
-2.1,5.44,1,0
10.57,-2.46,0,0
7.97,-4.03,0,0
10.4,14.14,0,0
9.81,-1.23,0,0
15.01,12.31,1,0
12.39,-1.13,1,0
-3.94,-0.28,0,0
11.43,11.03,1,0
12.61,-3.19,1,0
10.62,-3.55,0,0
-0.3,9.34,1,0
-3.41,2.01,1,0
-2.71,1.7,1,0
11.12,15.39,0,0
-4.39,2.98,1,0
11.3,-3.03,0,0
10.9,-2.66,0,0
11.13,-2.14,0,0
7.84,-0.41,0,0
14.72,3.36,1,0
12.45,-0.31,1,0
-0.95,-1.67,0,0
10.72,14.27,0,0
11.31,-2.95,0,0
-4.71,1.21,1,0
8.39,11.76,0,0
-3.82,9.48,1,0
11.96,-3.11,0,0
-2.93,0.73,1,0
-1.64,12.61,0,0
-3.55,-0.35,0,0
-3.76,-0.92,0,0
-3.85,1.04,1,0
-3.71,8.26,1,0
15.12,-0.76,1,0
-3.95,11.06,0,0
11.84,-3.16,0,0
10.8,12.98,0,0
-2.24,11.82,0,0
11.2,-3.08,0,0
9.51,13.29,0,0
10.56,13.75,0,0
13.38,-0.67,1,0
-3.97,9.23,1,0
-3.78,1.95,1,0
9.47,-3.99,0,0
13.9,-1.47,1,0
-2.16,1.05,0,0
-3.1,1.67,1,0
-2.05,2.65,1,0
11.81,-1.53,1,0
15.36,12.58,1,0
-1.84,10.72,1,0
-1.29,7.11,1,0
10.24,-1.29,0,0
12.52,-0.65,1,0
14.9,-2.56,1,0
10.75,-1.78,0,0
11.3,-3.52,0,0
11.17,-1.63,0,0
-3.09,0.67,1,0
13.77,-1.57,1,0
9.98,-1.96,0,0
8.05,-0.48,0,0
-2.11,-1.63,0,0
-4.75,2.67,1,0
-2.24,0.34,0,0
13.68,-0.75,1,0
-4.78,0.43,1,0
10.84,13.18,0,0
11.11,-0.7,1,0
-4.89,2.51,1,0
11.85,10.54,1,0
8.9,13.59,0,0
10.22,-1.1,0,0
15.0,-1.04,1,0
11.84,-3.2,0,0
9.92,12.99,0,0
12.02,7.84,1,0
10.25,-3.71,0,0
12.54,11.57,1,0
-2.82,2.11,1,0
11.24,12.64,0,0
9.91,12.69,0,0
12.37,-3.39,1,0
12.99,-3.48,1,0
-2.56,0.49,0,0
3.48,0.5,0,1
9.87,-2.83,0,0
10.43,-0.42,0,0
12.97,-1.85,0,0
13.48,-1.85,1,0
13.2,-1.93,1,0
-4.4,3.35,1,0
13.52,-2.56,1,0
9.02,-1.18,0,0
14.98,0.96,1,0
-4.02,3.99,1,0
-3.99,2.25,1,0
-1.6,-0.5,1,0
10.56,13.05,0,0
9.34,-3.68,0,0
-0.74,8.42,1,0
-1.26,9.9,1,0
13.17,12.42,1,0
12.79,-2.3,0,0
10.49,-3.12,0,0
17.69,10.4,1,0
9.16,13.24,0,0
12.92,18.56,1,1
-2.28,-0.49,0,0
1.86,3.93,0,0
12.2,-3.34,1,0
12.49,-1.01,1,0
11.62,12.11,1,0
9.11,13.23,0,0
9.76,-1.94,0,0
11.59,12.28,0,0
-4.05,-0.29,0,0
-0.59,9.79,0,0
13.06,-1.26,1,0
10.59,13.73,0,0
10.39,-3.44,0,0
8.18,-1.11,0,0
11.7,-2.95,0,0
10.24,14.46,0,0
11.11,-3.45,0,0
5.94,3.12,0,0
11.03,-4.03,0,0
-3.0,0.86,0,0
-5.05,2.31,1,0
10.31,-3.8,0,0
11.26,-2.93,0,0
12.91,-1.02,1,0
11.7,-1.87,0,0
10.37,-1.44,0,0
-3.0,4.14,1,0
13.65,-2.37,1,0
12.15,-2.98,1,0
-4.01,-0.29,0,0
12.42,-0.62,1,0
-4.23,1.51,1,0
-2.67,0.13,0,0
8.31,-2.96,0,0
15.03,13.16,1,0
7.9,13.18,0,0
10.81,14.21,0,0
11.19,11.01,1,0
-2.02,-1.78,0,0
-1.43,-0.91,0,0
14.03,13.05,1,0
10.38,13.03,0,0
10.52,-2.27,0,0
8.28,0.39,0,0
9.56,13.3,0,0
-4.65,0.92,1,0
10.62,-1.43,0,0
10.63,-1.27,0,0
8.21,11.78,0,0
10.94,-1.23,0,0
-2.59,0.44,0,0
-1.05,7.45,1,0
9.98,-4.34,0,0
10.11,13.73,0,0
-5.32,0.58,1,0
-3.12,1.81,1,0
13.3,-1.91,1,0
-5.31,1.94,1,0
-1.28,10.24,0,0
9.27,14.22,0,0
9.78,-2.47,0,0
11.11,0.53,1,0
-1.67,9.67,0,0
-3.79,0.63,0,0
11.39,13.79,0,0
-4.45,9.59,1,0
-3.89,3.65,1,0
11.3,-5.28,0,0
12.49,13.15,1,0
-3.26,9.63,1,0
-4.3,0.5,1,0
-2.11,-0.22,0,0
-1.55,9.77,1,0
-4.79,9.61,1,0
10.72,8.76,0,0
8.89,-4.36,0,0
9.86,11.95,0,0
-2.23,0.96,1,0
-4.03,-0.9,0,0
10.09,10.81,0,0
8.79,-2.54,0,0
11.25,-1.12,0,0
10.39,-3.25,0,0
-3.4,9.59,1,0
15.63,0.49,1,0
10.63,12.42,0,0
11.63,-5.94,0,0
9.5,11.93,0,0
11.25,-3.03,0,0
9.65,11.78,0,0
14.49,-1.38,1,0
10.41,9.65,1,0
10.34,-1.47,0,0
11.39,10.8,1,0
10.78,-1.29,0,0
11.07,13.46,0,0
-2.86,1.52,1,0
13.95,-1.76,1,0
11.13,-3.43,0,0
16.18,-0.06,1,0
12.8,-1.23,1,0
-2.34,2.16,1,0
10.74,14.15,0,0
9.33,13.57,0,0
9.83,13.2,0,0
-1.26,10.52,0,0
10.56,-3.89,0,0
-1.87,9.34,1,0
12.98,14.02,0,0
9.73,11.38,0,0
-1.99,-0.77,0,0
11.37,-0.44,1,0
-2.58,-1.38,0,0
14.43,-0.12,1,0
14.97,0.41,1,0
11.35,12.59,0,0
14.62,-4.73,1,0
10.03,-2.69,0,0
-1.42,10.77,0,0
11.38,13.35,0,0
10.44,11.26,1,0
8.56,-1.96,0,0
9.96,14.27,0,0
11.45,11.97,1,0
10.17,14.21,0,0
10.66,-2.15,0,0
15.87,0.67,1,0
-3.91,-0.01,0,0
9.32,12.78,0,0
13.08,9.69,1,0
11.73,12.22,0,0
11.57,12.37,0,0
9.27,-3.17,0,0
9.45,-0.87,0,0
9.88,-2.07,0,0
10.55,-3.22,0,0
10.44,-0.79,0,0
8.38,-2.26,0,0
12.29,-2.88,1,0
8.64,12.72,0,0
14.05,0.69,1,0
14.14,7.54,1,0
10.09,-1.75,0,0
9.8,10.1,0,0
10.31,-4.45,0,0
11.42,12.65,0,0
13.16,-0.23,1,0
10.29,12.25,0,0
10.73,13.91,0,0
9.9,14.58,0,0
12.62,-2.53,1,0
8.45,-1.93,0,0
12.58,7.21,1,0
9.66,-2.4,0,0
-3.93,4.15,1,0
13.57,11.99,1,0
14.59,-1.36,1,0
11.87,-0.9,1,0
-5.44,0.04,0,0
-2.39,0.11,0,0
10.76,-1.57,0,0
15.27,-1.64,1,0
-4.73,-0.16,0,0
10.04,-2.03,0,0
-4.63,2.31,1,0
10.12,13.31,0,0
10.97,12.67,0,0
-3.42,10.52,0,0
10.89,11.85,1,0
9.85,12.77,0,0
13.5,-1.32,1,0
11.89,11.38,1,0
14.75,-1.28,1,0
14.16,-2.29,1,0
9.55,12.73,0,0
11.03,10.61,1,0
10.71,-4.63,0,0
10.6,12.65,0,0
11.11,11.42,1,0
11.69,-3.11,0,0
-3.71,3.13,1,0
10.88,14.31,0,0
-3.29,10.1,0,0
11.03,-2.1,0,0
10.76,-1.55,0,0
11.07,-4.53,0,0
11.88,12.43,1,0
9.2,-2.43,0,0
-2.84,-0.95,0,0
-2.15,1.66,1,0
9.53,-3.46,0,0
8.58,13.04,0,0
-3.57,1.25,1,0
11.29,-2.89,0,0
-4.36,2.09,1,0
11.9,9.9,1,0
12.12,-4.32,1,0
-2.61,0.47,1,0
-0.82,8.83,1,0
11.49,-0.87,0,0
-1.01,9.37,1,0
-3.67,8.94,1,0
-3.92,-0.26,0,0
11.5,-2.9,0,0
9.84,-3.35,0,0
-5.41,2.7,1,0
10.88,-3.72,0,0
10.73,13.62,0,0
-0.72,9.27,1,0
-2.39,10.9,0,0
13.09,15.14,0,0
7.52,15.23,0,0
9.57,-2.2,0,0
10.84,-2.33,0,0
-4.08,9.13,1,0
8.86,13.37,0,0
10.9,-1.45,0,0
13.54,-3.38,1,0
13.65,-1.58,1,0
15.71,-0.13,1,0
12.41,-3.21,1,0
-4.94,0.23,1,0
-3.46,11.14,1,0
11.6,-1.6,1,0
15.29,-0.05,1,0
11.05,-3.47,0,0
-3.9,3.94,1,0
11.4,13.51,1,0
15.02,-0.01,1,0
-1.91,10.02,0,0
10.79,-3.18,0,0
10.67,-1.15,0,0
15.42,9.65,1,0
9.54,12.22,0,0
10.49,-1.22,0,0
12.3,-2.57,0,0
10.47,-0.61,1,0
11.27,-2.43,0,0
-1.52,10.82,0,0
9.73,-2.17,0,0
-4.31,2.78,1,0
-3.3,3.15,1,0
-1.86,2.74,1,0
-2.98,0.88,0,0
11.74,-1.14,1,0
-1.59,0.49,0,0
-3.37,10.38,0,0
11.56,-3.19,0,0
-2.97,9.79,0,0
10.73,-1.79,0,0
10.01,10.64,0,0
7.29,-0.92,0,0
9.01,-3.65,0,0
-3.21,10.64,0,0
17.26,5.88,1,1
-3.82,0.52,0,0
12.26,-3.25,1,0
10.73,-1.48,0,0
-1.8,10.89,0,0
11.61,-0.63,1,0
8.83,12.3,0,0
-4.77,2.94,1,0
9.67,12.53,0,0
-4.14,0.8,1,0
-5.07,1.22,1,0
10.83,-3.13,0,0
10.62,13.71,0,0
12.72,-2.49,1,0
11.01,-2.34,0,0
12.56,-3.54,1,0
-2.86,11.0,0,0
11.39,14.08,0,0
13.95,11.1,1,0
9.87,14.46,0,0
9.63,-2.0,0,0
10.31,11.06,0,0
12.85,9.62,1,0
9.81,13.03,0,0
-4.88,3.56,1,0
11.95,-4.44,0,0
14.77,0.43,1,0
-5.84,2.72,1,0
-2.65,7.5,1,0
1.98,5.02,0,0
13.02,0.12,1,0
-2.63,0.36,0,0
-3.84,1.95,1,0
-4.26,1.33,1,0
9.78,12.78,0,0
-2.38,0.61,0,0
12.52,-3.62,1,0
10.93,-2.92,0,0
10.14,-2.15,0,0
12.8,0.45,1,0
13.42,9.62,1,0
-1.41,10.37,0,0
13.54,12.75,1,0
8.92,-1.02,0,0
-2.23,1.39,1,0
10.22,-3.9,0,0
10.75,9.46,1,0
9.75,14.66,0,0
12.13,0.21,1,0
11.55,-0.72,1,0
11.83,-1.09,0,0
9.66,15.3,0,0
-2.67,0.74,0,0
-4.43,1.09,1,0
13.99,-1.74,1,0
9.24,-2.49,0,0
16.12,0.52,1,0
-4.01,0.03,0,0
14.21,13.01,1,0
11.31,10.74,1,0
7.35,13.84,0,0
-1.77,9.16,0,0
10.36,-2.26,0,0
10.69,13.78,0,0
8.89,-0.78,0,0
8.69,14.71,0,0
10.04,-4.01,0,0
13.78,-2.21,1,0
11.94,-1.07,0,0
13.97,-1.41,1,0
-2.46,3.61,1,0
9.66,-1.89,0,0
9.78,11.61,0,0
14.05,-0.73,1,0
9.25,-2.68,0,0
8.54,13.27,0,0
-2.02,9.85,0,0
-4.78,0.37,1,0
8.7,-2.97,0,0
1.9,4.69,0,0
10.5,13.44,0,0
10.64,11.34,1,0
9.43,11.99,0,0
-4.03,7.54,1,0
-4.16,-0.63,0,0
12.58,-0.72,1,0
10.66,12.51,0,0
12.13,2.13,1,0
-4.75,3.04,1,0
-3.45,-0.17,1,0
12.64,-0.91,1,0
-3.64,-1.74,0,0
12.25,14.66,0,0
10.85,-3.34,0,0
10.43,11.73,0,0
11.04,-1.98,0,0
11.04,12.65,0,0
10.91,14.22,0,0
11.38,-2.96,0,0
-1.87,10.25,0,0
12.99,-0.34,1,0
-1.15,9.45,0,0
13.8,-2.18,1,0
12.68,12.25,1,0
8.72,12.94,0,0
11.0,-5.89,0,0
-3.85,1.45,1,0
-3.63,10.7,0,0
12.27,-1.35,1,0
9.19,15.28,0,0
10.65,12.93,0,0
-4.12,0.02,0,0
12.17,-1.73,0,0
11.45,-2.88,1,0
12.32,14.01,1,0
10.26,10.45,1,0
10.9,-4.73,0,0
1.46,4.01,0,0
-3.93,13.7,0,1
-2.32,5.22,1,0
11.82,-2.65,0,0
-3.79,9.57,0,0
-2.48,8.28,1,0
-4.04,1.26,1,0
-3.39,7.73,1,0
11.45,-0.97,1,0
-4.33,1.81,1,0
10.76,13.87,0,0
9.11,14.5,0,0
10.95,13.03,0,0
9.32,-3.77,0,0
15.83,-0.63,1,0
12.69,-0.76,0,0
11.41,8.26,1,0
-2.9,10.29,0,0
13.18,-2.0,1,0
14.01,-1.95,1,0
-5.81,-0.7,0,0
10.11,13.68,0,0
10.29,-0.27,0,0
8.34,-0.59,0,0
12.3,-2.82,0,0
13.66,-1.84,1,0
10.39,11.61,0,0
10.73,-2.45,0,0
9.04,-2.46,0,0
8.75,-0.37,0,0
-2.04,7.51,1,0
9.48,-2.44,0,0
9.78,13.91,0,0
12.0,14.0,0,0
9.73,-2.78,0,0
9.33,-2.6,0,0
10.94,-1.52,0,0
12.12,-1.28,0,0
11.97,-5.64,1,0
7.99,-3.47,0,0
9.52,13.4,0,0
-2.19,-2.6,0,0
6.39,-4.77,0,1
9.71,-1.85,0,0
-0.63,6.35,1,0
10.42,-3.6,0,0
-0.23,0.06,1,0
10.4,-3.5,0,0
2.23,5.2,0,0
8.4,-2.64,0,0
12.09,10.54,1,0
9.29,12.33,0,0
7.99,13.29,0,0
-3.93,8.23,1,0
-3.15,10.35,1,0
10.43,-3.31,0,0
13.66,-0.55,1,0
-0.45,9.88,1,0
10.9,-3.24,0,0
-2.58,10.55,0,0
-3.67,1.63,1,0
9.36,-4.23,0,0
5.2,3.44,0,0
10.01,13.71,0,0
8.09,8.13,1,1
0.12,-0.41,0,0
11.03,13.56,0,0
-1.0,-1.0,0,0
12.61,-2.98,1,0
11.68,-1.79,0,0
10.41,-1.59,0,0
8.63,13.03,0,0
13.92,-1.29,1,0
-1.61,10.54,0,0
14.11,-2.01,1,0
-2.82,1.23,1,0
9.61,-0.92,0,0
9.49,13.36,0,0
-3.27,0.09,0,0
-4.26,-1.43,0,0
14.32,11.9,1,0
12.39,-2.34,0,0
10.99,-1.03,0,0
11.25,9.15,1,0
-2.78,-0.38,0,0
15.6,8.79,1,0
13.35,-3.29,1,0
-4.35,0.88,1,0
12.75,-1.2,1,0
10.49,12.12,0,0
13.41,1.36,1,0
11.3,-1.65,0,0
-3.61,-1.09,0,0
13.53,-2.56,0,0
-2.36,-0.93,0,0
-2.61,9.88,0,0
10.75,11.53,1,0
-2.01,10.68,0,0
-3.25,10.4,1,0
12.94,-2.8,1,0
12.67,10.41,1,0
9.05,14.4,0,0
-4.63,1.51,1,0
10.58,-4.15,0,0
12.28,-2.74,0,0
13.39,-1.76,1,0
12.03,-4.36,1,0
-5.24,0.96,1,0
11.48,-2.67,0,0
14.71,10.96,1,0
-4.48,1.11,1,0
9.08,13.55,0,0
12.69,12.28,1,0
-6.27,1.83,1,0
13.45,-1.67,1,0
11.29,11.06,1,0
-2.69,10.63,0,0
10.35,-3.68,0,0
9.96,12.94,0,0
-3.95,0.63,0,0
14.07,0.22,1,0
12.86,-1.19,1,0
11.08,13.49,0,0
11.98,-1.61,1,0
10.74,-0.84,0,0
10.8,13.18,0,0
-0.89,10.2,0,0
-1.61,10.01,0,0
-2.01,-0.43,0,0
8.95,13.17,0,0
-3.18,11.56,0,0
10.87,-1.69,0,0
-4.24,-0.76,0,0
14.85,0.71,1,0
9.65,11.74,0,0
-3.42,11.23,0,0
9.46,-3.33,0,0
-1.39,9.43,1,0
10.89,-3.59,0,0
10.48,-1.9,0,0
9.84,-0.51,0,0
-4.07,1.4,1,0
11.05,-3.76,0,0
11.62,-1.91,0,0
9.18,14.13,0,0
-4.37,0.38,0,0
10.35,0.1,0,0
-2.55,10.44,0,0
14.74,-0.27,1,0
10.41,-4.98,0,0
9.62,13.43,0,0
13.22,-4.27,1,0
12.96,11.64,1,0
9.59,12.48,0,0
-3.67,11.15,0,0
10.2,0.26,1,0
10.76,-3.35,0,0
8.83,13.57,0,0
11.27,12.69,0,0
9.02,-2.56,0,0
11.34,-4.36,0,0
6.07,14.04,0,0
11.17,-3.12,0,0
11.42,-3.12,0,0
12.82,12.56,1,0
-3.38,0.97,1,0
9.91,13.37,0,0
-5.22,1.06,1,0
-1.85,9.78,1,0
-2.27,3.55,1,0
9.48,0.03,0,0
10.84,14.28,0,0
8.96,14.05,0,0
9.45,-2.37,0,0
10.27,11.73,0,0
-4.66,3.14,1,0
8.67,-1.49,0,0
10.58,-1.72,0,0
8.87,-2.89,0,0
-4.26,0.3,1,0
-2.14,7.56,1,0
12.23,-1.38,0,0
-3.28,9.06,0,0
8.73,-2.37,0,0
-3.92,3.59,1,0
11.35,-2.93,0,0
-2.34,11.06,0,0
10.86,-1.85,0,0
-1.56,-0.81,0,0
11.04,-0.6,0,0
-4.14,2.54,1,0
15.22,9.86,1,0
-4.05,9.14,1,0
-3.51,-0.28,0,0
12.52,12.94,1,0
-4.06,9.96,0,0
12.16,-2.89,1,0
11.4,-3.05,0,0
-5.14,0.84,1,0
9.51,13.74,0,0
15.02,-2.08,1,0
14.23,-1.62,1,0
9.61,12.06,0,0
-3.88,10.14,0,0
11.19,13.74,0,0
10.28,-0.91,0,0
-2.79,-0.43,0,0
-3.84,-1.01,0,0
-2.89,-1.38,0,0
12.29,-2.57,0,0
5.05,6.08,0,0
12.33,11.13,1,0
-1.4,10.52,0,0
-4.14,3.12,1,0
11.86,-0.94,0,0
-3.99,-0.64,0,0
-5.31,0.93,1,0
11.57,-1.88,0,0
8.06,-2.79,0,0
8.6,-1.46,0,0
9.64,-2.24,0,0
15.92,0.77,1,0
10.61,14.05,0,0
-4.48,1.9,1,0
4.78,3.88,0,0
10.46,13.32,0,0
10.34,-2.51,0,0
15.5,-1.7,1,0
11.23,13.29,0,0
10.45,13.79,0,0
14.58,-2.64,1,0
13.04,-0.65,1,0
10.62,13.21,0,0
8.59,11.49,0,0
12.71,1.52,1,0
10.58,-4.36,0,0
-2.66,10.85,0,0
9.42,13.35,0,0
13.09,2.32,1,0
16.31,0.08,1,0
11.58,-2.45,0,0
11.09,-0.81,1,0
14.69,9.13,1,0
12.99,-0.86,1,0
14.17,-1.43,1,0
10.25,11.93,0,0
-1.81,-0.24,0,0
7.35,3.91,0,0
11.38,-1.81,0,0
11.83,-1.11,1,0
-1.59,0.44,0,0
3.06,4.28,0,0
-3.49,2.0,1,0
10.41,11.73,0,0
-1.91,9.32,1,0
